datetime,open,high,low,close,volume,symbol
2025-03-03 12:45:00,93013.97,93178.5,92933.19,93027.34,205.08673,BTC/USDT
2025-03-03 13:00:00,93027.35,93288.0,92902.21,92920.59,293.35325,BTC/USDT
2025-03-03 13:15:00,92920.59,93212.27,92882.38,93038.0,201.70822,BTC/USDT
2025-03-03 13:30:00,93038.0,93690.0,93020.21,93642.06,414.85635,BTC/USDT
2025-03-03 13:45:00,93642.05,93679.0,93207.89,93586.83,351.88452,BTC/USDT
2025-03-03 14:00:00,93586.82,93721.37,93350.01,93647.34,302.39969,BTC/USDT
2025-03-03 14:15:00,93647.34,93652.33,92721.01,93180.71,596.46086,BTC/USDT
2025-03-03 14:30:00,93180.7,93292.7,90750.0,91363.34,2021.0516,BTC/USDT
2025-03-03 14:45:00,91363.33,91573.87,89136.45,89278.88,3252.67812,BTC/USDT
2025-03-03 15:00:00,89264.51,90622.51,89117.0,90436.46,2647.62147,BTC/USDT
2025-03-03 15:15:00,90436.46,91307.0,89900.0,91083.99,1502.22746,BTC/USDT
2025-03-03 15:30:00,91083.99,91248.34,90313.21,90694.32,976.20299,BTC/USDT
2025-03-03 15:45:00,90694.32,90807.47,89953.04,90035.37,645.61671,BTC/USDT
2025-03-03 16:00:00,90035.38,90372.74,89691.02,90015.43,745.68893,BTC/USDT
2025-03-03 16:15:00,90015.44,90750.91,89849.18,90273.99,533.72933,BTC/USDT
2025-03-03 16:30:00,90274.0,90377.76,89850.0,90042.15,447.46677,BTC/USDT
2025-03-03 16:45:00,90042.16,90418.0,89972.0,90154.0,384.35156,BTC/USDT
2025-03-03 17:00:00,90154.0,90454.54,89912.0,90165.32,470.02398,BTC/USDT
2025-03-03 17:15:00,90165.33,90521.18,89992.0,90324.0,319.90664,BTC/USDT
2025-03-03 17:30:00,90324.01,91000.0,90300.0,90924.01,467.50958,BTC/USDT
2025-03-03 17:45:00,90924.0,90924.0,90056.6,90300.01,369.31013,BTC/USDT
2025-03-03 18:00:00,90300.01,90450.47,89256.5,89377.36,798.86854,BTC/USDT
2025-03-03 18:15:00,89377.36,89591.62,87433.43,87766.09,2668.20125,BTC/USDT
2025-03-03 18:30:00,87766.09,88186.44,86921.98,87304.0,1952.99073,BTC/USDT
2025-03-03 18:45:00,87303.99,87920.2,86781.98,87132.8,1899.54633,BTC/USDT
2025-03-03 19:00:00,87132.8,87724.13,86884.09,87078.23,983.16915,BTC/USDT
2025-03-03 19:15:00,87078.24,87185.01,86561.21,87032.75,918.4145,BTC/USDT
2025-03-03 19:30:00,87032.76,87488.0,86714.28,86931.99,641.04883,BTC/USDT
2025-03-03 19:45:00,86931.99,87088.2,85555.45,85606.0,2515.47443,BTC/USDT
2025-03-03 20:00:00,85606.01,86156.34,85319.0,85756.54,2028.83907,BTC/USDT
2025-03-03 20:15:00,85756.55,86412.0,85690.0,85814.55,1229.03998,BTC/USDT
2025-03-03 20:30:00,85814.55,86258.58,85200.01,85424.0,1169.3983,BTC/USDT
2025-03-03 20:45:00,85424.0,86075.99,85416.44,86074.0,703.17547,BTC/USDT
2025-03-03 21:00:00,86073.99,86419.11,86002.0,86394.49,460.57028,BTC/USDT
2025-03-03 21:15:00,86394.49,86582.12,86060.0,86073.99,409.91397,BTC/USDT
2025-03-03 21:30:00,86074.0,86509.69,86058.0,86254.0,316.2738,BTC/USDT
2025-03-03 21:45:00,86254.01,86254.01,85117.11,85374.33,727.65108,BTC/USDT
2025-03-03 22:00:00,85374.33,86379.64,85308.0,86119.99,510.91464,BTC/USDT
2025-03-03 22:15:00,86120.0,86600.0,86021.06,86408.0,386.32989,BTC/USDT
2025-03-03 22:30:00,86408.01,86482.0,86132.07,86358.5,338.20255,BTC/USDT
2025-03-03 22:45:00,86358.49,87038.46,86299.23,86650.96,298.39083,BTC/USDT
2025-03-03 23:00:00,86650.96,86654.29,86000.0,86315.87,450.09707,BTC/USDT
2025-03-03 23:15:00,86315.87,86808.0,86125.8,86507.44,217.14901,BTC/USDT
2025-03-03 23:30:00,86507.44,86698.12,86309.09,86588.01,244.84206,BTC/USDT
2025-03-03 23:45:00,86588.01,86588.01,86007.73,86220.61,226.82542,BTC/USDT
2025-03-04 00:00:00,86221.16,86540.56,85880.0,86231.84,494.93395,BTC/USDT
2025-03-04 00:15:00,86231.85,86807.98,86189.6,86430.86,430.48836,BTC/USDT
2025-03-04 00:30:00,86430.87,86527.36,85931.28,86023.15,340.56526,BTC/USDT
2025-03-04 00:45:00,86023.16,86321.99,85909.09,86046.43,221.10617,BTC/USDT
2025-03-04 01:00:00,86046.43,86196.0,85549.32,85749.5,482.82346,BTC/USDT
2025-03-04 01:15:00,85749.5,85972.13,85301.0,85708.0,523.93486,BTC/USDT
2025-03-04 01:30:00,85708.01,85879.19,83436.0,83571.05,2315.31127,BTC/USDT
2025-03-04 01:45:00,83571.05,83840.0,82641.51,83380.55,2468.21974,BTC/USDT
2025-03-04 02:00:00,83380.72,83845.87,82464.84,83775.03,1712.10867,BTC/USDT
2025-03-04 02:15:00,83775.04,83782.2,82880.06,83223.84,864.86616,BTC/USDT
2025-03-04 02:30:00,83223.84,83947.95,83156.57,83483.84,1062.31287,BTC/USDT
2025-03-04 02:45:00,83483.84,84413.62,83428.16,83936.41,529.30015,BTC/USDT
2025-03-04 03:00:00,83936.41,84465.48,83748.98,83808.88,515.93883,BTC/USDT
2025-03-04 03:15:00,83808.87,84261.11,83680.03,84022.73,383.9898,BTC/USDT
2025-03-04 03:30:00,84022.73,84235.98,83774.17,83843.31,433.73949,BTC/USDT
2025-03-04 03:45:00,83843.31,84421.54,83602.81,83983.72,488.16969,BTC/USDT
2025-03-04 04:00:00,83983.73,84037.74,83621.07,83874.26,439.86763,BTC/USDT
2025-03-04 04:15:00,83874.27,84021.84,83668.1,83792.14,276.38867,BTC/USDT
2025-03-04 04:30:00,83792.14,83868.0,83478.58,83807.48,243.17514,BTC/USDT
2025-03-04 04:45:00,83807.48,83812.0,83315.9,83416.95,349.1937,BTC/USDT
2025-03-04 05:00:00,83416.95,84581.6,83354.27,83838.07,660.90145,BTC/USDT
2025-03-04 05:15:00,83838.07,84272.37,83695.86,84202.63,356.26941,BTC/USDT
2025-03-04 05:30:00,84202.63,84372.0,83984.87,84150.95,234.5649,BTC/USDT
2025-03-04 05:45:00,84150.94,84335.39,84043.92,84273.99,140.35356,BTC/USDT
2025-03-04 06:00:00,84274.0,84411.76,84011.78,84060.01,230.9373,BTC/USDT
2025-03-04 06:15:00,84060.01,84328.32,83881.08,84246.61,168.02126,BTC/USDT
2025-03-04 06:30:00,84246.6,84329.95,83611.64,83739.51,253.89926,BTC/USDT
2025-03-04 06:45:00,83739.51,83905.32,83584.9,83883.58,201.14586,BTC/USDT
2025-03-04 07:00:00,83884.06,84024.0,83455.81,83461.75,335.75258,BTC/USDT
2025-03-04 07:15:00,83461.75,83715.12,83342.37,83500.01,329.80856,BTC/USDT
2025-03-04 07:30:00,83500.01,83845.22,83425.26,83480.01,222.56327,BTC/USDT
2025-03-04 07:45:00,83480.0,83575.27,83140.0,83186.4,512.95369,BTC/USDT
2025-03-04 08:00:00,83186.4,83400.0,83040.29,83289.15,536.95516,BTC/USDT
2025-03-04 08:15:00,83289.16,83898.0,83194.26,83601.34,386.77915,BTC/USDT
2025-03-04 08:30:00,83601.33,83899.99,83562.2,83704.74,328.59025,BTC/USDT
2025-03-04 08:45:00,83704.75,83934.51,83400.0,83893.09,244.32768,BTC/USDT
2025-03-04 09:00:00,83893.09,84181.53,83698.11,84042.41,305.94719,BTC/USDT
2025-03-04 09:15:00,84042.4,84069.6,83642.01,83860.82,225.55963,BTC/USDT
2025-03-04 09:30:00,83860.82,84136.31,83729.0,84110.01,229.9227,BTC/USDT
2025-03-04 09:45:00,84110.01,84164.28,83723.31,83748.0,229.53002,BTC/USDT
2025-03-04 10:00:00,83748.0,83834.68,83576.91,83679.0,239.48342,BTC/USDT
2025-03-04 10:15:00,83679.0,83773.58,83492.02,83639.89,208.19867,BTC/USDT
2025-03-04 10:30:00,83639.88,84040.98,83610.78,83859.99,219.99211,BTC/USDT
2025-03-04 10:45:00,83859.98,84067.02,83820.62,83971.93,178.13204,BTC/USDT
2025-03-04 11:00:00,83971.93,84373.84,83846.25,84044.54,371.40677,BTC/USDT
2025-03-04 11:15:00,84044.54,84051.4,83698.11,84036.94,277.54531,BTC/USDT
2025-03-04 11:30:00,84036.94,84075.46,83806.89,83941.59,292.00906,BTC/USDT
2025-03-04 11:45:00,83941.59,84120.0,83824.32,83937.94,191.91888,BTC/USDT
2025-03-04 12:00:00,83937.93,83937.93,83552.0,83650.57,209.8295,BTC/USDT
2025-03-04 12:15:00,83650.57,83662.7,83248.66,83372.06,283.37144,BTC/USDT
2025-03-04 12:30:00,83372.06,83859.01,83276.58,83844.02,297.01972,BTC/USDT
2025-03-04 12:45:00,83844.02,83979.66,83624.11,83763.73,217.69817,BTC/USDT
2025-03-04 13:00:00,83763.73,83764.56,83188.64,83271.61,269.86018,BTC/USDT
2025-03-04 13:15:00,83271.61,83433.26,82539.0,82568.01,777.02501,BTC/USDT
2025-03-04 13:30:00,82568.01,83522.07,82300.0,83241.0,742.84875,BTC/USDT
2025-03-04 13:45:00,83241.9,83465.17,82636.08,82804.0,637.46825,BTC/USDT
2025-03-04 14:00:00,82804.0,83400.0,82650.0,83101.64,424.67512,BTC/USDT
2025-03-04 14:15:00,83101.65,83219.99,82572.0,82783.21,360.02361,BTC/USDT
2025-03-04 14:30:00,82783.22,84977.65,82062.06,84091.16,3252.43952,BTC/USDT
2025-03-04 14:45:00,84089.49,84826.26,83051.66,83201.41,1971.11899,BTC/USDT
